JAMB_Score,Study_Hours_Per_Week,Attendance_Rate,Teacher_Quality,Distance_To_School,School_Type,School_Location,Extra_Tutorials,Access_To_Learning_Materials,Parent_Involvement,IT_Knowledge,Student_ID,Age,Gender,Socioeconomic_Status,Parent_Education_Level,Assignments_Completed,Study_Efficiency,School_Quality_Index,Engagement_Level,Distance_Barrier
192,22,78,4,12.4,Public,Urban,Yes,Yes,High,Medium,1,17,Male,Low,Tertiary,2,8.727272727272727,2.8,5.9,0.07462686567164178
207,14,88,4,2.7,Public,Rural,No,Yes,High,High,2,15,Male,High,,1,14.785714285714286,2.8,5.4,0.27027027027027023
182,29,87,2,9.6,Public,Rural,Yes,Yes,High,Medium,3,20,Female,High,Tertiary,2,6.275862068965517,1.6,6.35,0.09433962264150944
210,29,99,2,2.6,Public,Urban,No,Yes,Medium,High,4,22,Female,Medium,Tertiary,1,7.241379310344827,1.6,4.95,0.2777777777777778
199,12,98,3,8.8,Public,Urban,No,Yes,Medium,Medium,5,22,Female,Medium,Tertiary,1,16.583333333333332,2.1999999999999997,4.9,0.1020408163265306
202,25,85,2,13.6,Public,Urban,Yes,No,Medium,Low,6,15,Male,Low,Tertiary,1,8.08,1.2,5.25,0.0684931506849315
251,35,85,4,2.6,Public,Urban,No,Yes,Low,Medium,7,16,Female,Medium,Primary,4,7.171428571428572,2.8,4.25,0.2777777777777778
129,27,75,3,9.4,Public,Urban,No,Yes,Low,Medium,8,19,Female,Low,Tertiary,3,4.777777777777778,2.1999999999999997,3.75,0.09615384615384615
220,23,85,3,4.6,Public,Rural,No,No,Low,Medium,9,19,Female,Medium,Tertiary,1,9.565217391304348,1.7999999999999998,4.25,0.17857142857142858
157,15,79,3,15.6,Public,Rural,No,Yes,Low,Low,10,20,Female,Medium,,1,10.466666666666667,2.1999999999999997,3.95,0.06024096385542168
188,32,90,2,4.5,Private,Rural,No,No,Low,Medium,11,22,Male,Medium,Secondary,3,5.875,1.2,4.5,0.18181818181818182
158,7,87,3,4.7,Public,Rural,Yes,Yes,High,Medium,12,20,Male,Medium,Secondary,1,22.571428571428573,2.1999999999999997,6.35,0.17543859649122806
191,25,91,2,8.3,Public,Urban,No,Yes,High,Low,13,19,Female,Medium,Secondary,2,7.64,1.6,5.55,0.1075268817204301
114,2,92,1,14.8,Public,Rural,Yes,No,Low,High,14,19,Male,Low,Secondary,1,57.0,0.6,5.6,0.06329113924050632
146,27,100,3,10.5,Public,Rural,Yes,No,Low,Medium,15,18,Male,Low,Secondary,2,5.407407407407407,1.7999999999999998,6.0,0.08695652173913043
154,16,84,4,7.1,Public,Rural,No,Yes,Low,Medium,16,15,Male,Medium,Primary,1,9.625,2.8,4.2,0.1234567901234568
102,25,90,3,9.6,Private,Rural,Yes,Yes,Low,Low,17,15,Male,High,Secondary,2,4.08,2.1999999999999997,5.5,0.09433962264150944
106,18,77,2,7.6,Public,Urban,No,Yes,Medium,Medium,18,22,Female,Low,Primary,1,5.888888888888889,1.6,3.85,0.11627906976744186
238,14,100,3,4.1,Public,Rural,No,Yes,High,High,19,20,Female,High,Secondary,1,17.0,2.1999999999999997,6.0,0.19607843137254904
274,40,100,3,12.2,Private,Rural,No,No,Low,Low,20,21,Female,Medium,Secondary,4,6.85,1.7999999999999998,5.0,0.07575757575757576
108,28,90,1,16.6,Public,Urban,No,Yes,Low,Low,21,20,Female,Low,,2,3.857142857142857,1.0,4.5,0.056818181818181816
251,34,90,2,9.3,Public,Urban,Yes,No,High,Medium,22,21,Male,Low,Primary,5,7.382352941176471,1.2,6.5,0.0970873786407767
159,11,77,2,11.8,Public,Urban,No,Yes,Low,Low,23,20,Male,Medium,Primary,1,14.454545454545455,1.6,3.85,0.078125
207,20,73,3,5.6,Public,Urban,Yes,No,Medium,Medium,24,22,Male,Low,,1,10.35,1.7999999999999998,4.65,0.15151515151515152
263,28,89,3,14.5,Private,Urban,Yes,Yes,Medium,Medium,25,18,Male,Medium,Tertiary,3,9.392857142857142,2.1999999999999997,5.45,0.06451612903225806
149,11,97,3,5.0,Public,Rural,No,Yes,Low,Medium,26,22,Female,Low,,1,13.545454545454545,2.1999999999999997,4.85,0.16666666666666666
101,29,77,2,3.9,Private,Rural,Yes,No,Medium,Medium,27,21,Female,Medium,Tertiary,3,3.4827586206896552,1.2,4.85,0.2040816326530612
153,19,90,3,10.2,Public,Urban,Yes,Yes,Medium,Low,28,16,Female,Low,Primary,2,8.052631578947368,2.1999999999999997,5.5,0.08928571428571429
153,0,91,2,9.9,Private,Rural,Yes,Yes,Medium,High,29,22,Female,Low,Primary,1,1530.0,1.6,5.55,0.09174311926605504
267,30,87,5,12.9,Public,Rural,Yes,No,Medium,Low,30,17,Male,High,Tertiary,2,8.9,3.0,5.35,0.07194244604316546
133,13,94,2,13.2,Private,Rural,No,Yes,Medium,Medium,31,22,Female,Low,Primary,1,10.23076923076923,1.6,4.7,0.07042253521126761
199,21,58,5,11.8,Public,Rural,No,Yes,Low,Low,32,19,Female,High,Tertiary,3,9.476190476190476,3.4,2.9,0.078125
147,14,71,3,2.9,Public,Urban,Yes,Yes,Low,High,33,19,Female,Medium,Tertiary,2,10.5,2.1999999999999997,4.55,0.25641025641025644
177,27,76,2,10.3,Public,Rural,No,No,High,High,34,18,Male,Medium,Primary,1,6.555555555555555,1.2,4.8,0.08849557522123894
