JAMB_Score,Study_Hours_Per_Week,Attendance_Rate,Teacher_Quality,Distance_To_School,School_Type,School_Location,Extra_Tutorials,Access_To_Learning_Materials,Parent_Involvement,IT_Knowledge,Student_ID,Age,Gender,Socioeconomic_Status,Parent_Education_Level,Assignments_Completed,Study_Efficiency,School_Quality_Index,Engagement_Level,Distance_Barrier
199,10,97,2,5.8,Private,Urban,Yes,No,High,Medium,3940,15,Female,Low,,1,19.9,1.2,6.85,0.14705882352941177
163,16,89,4,11.9,Private,Rural,Yes,Yes,Medium,Medium,2014,16,Male,High,Tertiary,1,10.1875,2.8,5.45,0.07751937984496124
182,25,100,4,5.8,Private,Rural,No,Yes,Low,High,3569,15,Male,Medium,Primary,1,7.28,2.8,5.0,0.14705882352941177
180,2,90,2,12.7,Public,Urban,No,Yes,Medium,Medium,225,21,Male,Medium,Secondary,1,90.0,1.6,4.5,0.07299270072992702
189,28,74,2,8.9,Public,Urban,No,Yes,Low,Medium,3020,20,Male,Medium,Primary,2,6.75,1.6,3.7,0.10101010101010101
116,17,90,3,8.0,Public,Urban,Yes,Yes,Low,Medium,1640,17,Male,Medium,Tertiary,1,6.823529411764706,2.1999999999999997,5.5,0.1111111111111111
134,15,88,2,13.5,Private,Urban,Yes,Yes,Low,Medium,4193,21,Female,Low,Secondary,1,8.933333333333334,1.6,5.4,0.06896551724137931
172,20,83,3,10.0,Private,Urban,Yes,Yes,Low,Low,2609,20,Female,Medium,Secondary,1,8.6,2.1999999999999997,5.15,0.09090909090909091
173,13,56,4,9.8,Private,Rural,No,No,Medium,Medium,464,22,Female,Medium,,1,13.307692307692308,2.4,2.8,0.09259259259259259
171,0,70,2,10.8,Private,Urban,No,Yes,Low,Low,4094,16,Male,Medium,Secondary,1,1710.0,1.6,3.5,0.0847457627118644
162,40,76,2,5.9,Public,Urban,Yes,Yes,Medium,Low,1268,18,Female,Low,,5,4.05,1.6,4.8,0.14492753623188406
248,27,97,2,5.0,Public,Rural,Yes,Yes,Medium,Medium,1948,15,Male,High,Tertiary,3,9.185185185185185,1.6,5.85,0.16666666666666666
133,15,91,2,7.0,Public,Urban,No,Yes,Low,High,3779,16,Male,Medium,Primary,2,8.866666666666667,1.6,4.55,0.125
